,Mkt-RF,SMB,HML,RF
201601,-0.0577,-0.0339,0.0206,0.0001
201602,-0.0007,0.0081,-0.0057,0.0002
201603,0.0696,0.0076,0.0110,0.0002
201604,0.0091,0.0067,0.0321,0.0001
201605,0.0178,-0.0019,-0.0166,0.0001
201606,-0.0005,0.0059,-0.0145,0.0002
201607,0.0395,0.0249,-0.0131,0.0002
201608,0.0049,0.0116,0.0316,0.0002
201609,0.0025,0.0213,-0.0122,0.0002
201610,-0.0202,-0.0440,0.0412,0.0002
201611,0.0486,0.0568,0.0820,0.0001
201612,0.0181,0.0011,0.0356,0.0003
201701,0.0194,-0.0116,-0.0273,0.0004
201702,0.0357,-0.0205,-0.0166,0.0004
201703,0.0017,0.0113,-0.0337,0.0003
201704,0.0109,0.0072,-0.0215,0.0005
201705,0.0106,-0.0255,-0.0376,0.0006
201706,0.0078,0.0224,0.0148,0.0006
201707,0.0187,-0.0146,-0.0022,0.0007
201708,0.0016,-0.0165,-0.0207,0.0009
201709,0.0251,0.0445,0.0309,0.0009
201710,0.0225,-0.0193,0.0023,0.0009
201711,0.0312,-0.0056,-0.0005,0.0008
201712,0.0106,-0.0132,0.0003,0.0009
201801,0.0558,-0.0318,-0.0136,0.0011
201802,-0.0365,0.0026,-0.0103,0.0011
201803,-0.0235,0.0406,-0.0023,0.0012
201804,0.0029,0.0110,0.0048,0.0014
201805,0.0265,0.0531,-0.0313,0.0014
201806,0.0048,0.0112,-0.0233,0.0014
201807,0.0319,-0.0224,0.0045,0.0016
201808,0.0344,0.0113,-0.0398,0.0016
201809,0.0006,-0.0229,-0.0170,0.0015
201810,-0.0768,-0.0478,0.0343,0.0019
201811,0.0169,-0.0069,0.0026,0.0018
201812,-0.0955,-0.0241,-0.0190,0.0019
201901,0.0841,0.0290,-0.0044,0.0021
201902,0.0340,0.0204,-0.0268,0.0018
201903,0.0110,-0.0298,-0.0405,0.0019
201904,0.0397,-0.0172,0.0217,0.0021
201905,-0.0694,-0.0133,-0.0237,0.0021
201906,0.0693,0.0028,-0.0071,0.0018
201907,0.0119,-0.0204,0.0057,0.0019
201908,-0.0258,-0.0233,-0.0489,0.0016
201909,0.0143,-0.0097,0.0688,0.0018
201910,0.0207,0.0025,-0.0191,0.0015
201911,0.0387,0.0085,-0.0209,0.0012
201912,0.0277,0.0070,0.0180,0.0014
202001,-0.0010,-0.0313,-0.0617,0.0013
202002,-0.0813,0.0102,-0.0375,0.0012
202003,-0.1338,-0.0489,-0.1392,0.0012
202004,0.1365,0.0256,-0.0130,0.0000
202005,0.0558,0.0253,-0.0492,0.0001
202006,0.0246,0.0267,-0.0212,0.0001
202007,0.0577,-0.0228,-0.0153,0.0001
202008,0.0763,-0.0028,-0.0295,0.0001
202009,-0.0363,0.0005,-0.0258,0.0001
202010,-0.0210,0.0440,0.0414,0.0001
202011,0.1247,0.0563,0.0210,0.0001
202012,0.0463,0.0483,-0.0141,0.0001
