Date,MSCI World
Dec-15,1662.794
Jan-16,1562.178
Feb-16,1547.174
Mar-16,1648.118
Apr-16,1670.796
May-16,1674.613
Jun-16,1653.229
Jul-16,1721.788
Aug-16,1719.524
Sep-16,1725.665
Oct-16,1690.922
Nov-16,1712.089
Dec-16,1751.219
Jan-17,1792.403
Feb-17,1838.699
Mar-17,1853.69
Apr-17,1878.276
May-17,1911.74
Jun-17,1916.426
Jul-17,1961.1
Aug-17,1959.743
Sep-17,2000.553
Oct-17,2036.804
Nov-17,2077.36
Dec-17,2103.448
Jan-18,2213.238
Feb-18,2117.993
Mar-18,2066.845
Apr-18,2086.514
May-18,2092.923
Jun-18,2089.301
Jul-18,2153.096
Aug-18,2175.498
Sep-18,2184.009
Oct-18,2021.982
Nov-18,2041.359
Dec-18,1883.901
Jan-19,2028.492
Feb-19,2085.845
Mar-19,2107.742
Apr-19,2178.674
May-19,2046.246
Jun-19,2178.347
Jul-19,2187.564
Aug-19,2138.521
Sep-19,2180.018
Oct-19,2233.526
Nov-19,2292.259
Dec-19,2358.468
Jan-20,2342.414
Feb-20,2141.124
Mar-20,1852.727
Apr-20,2052.845
May-20,2147.882
Jun-20,2201.788
Jul-20,2304.982
Aug-20,2455.512
Sep-20,2367.27
Oct-20,2292.925
Nov-20,2583.143
Dec-20,2690.044
